Songs,Lyrics
STARS,
KEYS TO MY LIFE,
PAID,
TALKING,
BACK TO ME,"[Intro: Jason Mewes]I fell in love with you, we fell in love with youGuys like us just don't fall out of the fucking sky, you know?[Chorus: Ty Dolla $ign]Let's keep zonin'Let's keep floatin', let's keep moanin'Girl, I know that it ain't overIn the morning, you'll be runnin' back to meHeart was broken, I am frozenNow you're glowin'This is more than just a momentIn the morning, you'll be runnin' back to me[Verse 1: Kanye West, Ty Dolla $ign & Quavo]This the shit that make rap niggas madThem ""think they cool"" niggas madBad bitches more badYou shouldn't have bought her more ass, shall I add?Tell me, where we at? (Where we at?)I put nerds on the map (On thе map)Now this Urkel in your bitchDid I do that?[Interlude: Jason Mewes]Beautiful, naked, big-titty womеn just don't fall out the sky, you know?"
HOODRAT,
DO IT,
PAPERWORK,
BURN,
FUK SUMN,
VULTURES,
CARNIVAL,
BEG FORGIVENESS,
GOOD (DON'T DIE),
PROBLEMATIC,
KING,
Donda Chant,"[Interlude: Syleena Johnson]Donda, Donda, Donda, Donda, Donda, DondaDonda, Donda, Donda, Donda, Donda, DondaDonda, Donda, Donda, Donda, Donda, DondaDonda, Donda, Donda, Donda, Donda, DondaDonda, Donda, Donda, Donda, Donda, DondaDonda, Donda, Donda, Donda, Donda, DondaDonda, Donda, Donda, Donda, Donda, DondaDonda, Donda, Donda, Donda, Donda, DondaDonda, Donda, Donda, Donda, Donda, DondaDonda, Donda, Donda, Donda, Donda, Donda"
Hurricane,"[Chorus: The Weeknd]See this in 3D, all lights out for meAll lights out for me, lightning strikes the beachEighty degrees, warm it up for meFinally free, found the God in meAnd I want you to see, I can walk on waterThousand miles from shore, I can float on the waterFather, hold me close, don't let me drownI know You won't[Verse 1: Lil Baby]Yeah, walkin' on the bridge, I threw my sins over the deep endSippin' 'til my stomach hurt, this month I done lost three friendsEarly mornin', brainstormin', normally I can't sleep inSometimes I just wanna restart it, but it all dependsIf I'ma be that same young, hungry **** from West EndWrote my hardest wrongs and the crazy part, I ain't have no penMaybach interior camе with sheepskinStill remember whеn I just had three bandsNow I'm the one everyone call on 'cause I got deep pantsBro told me the way to beat the game is on the defense andNever fazed by names that they might call me, but they gon' respect itAnd I feel like you better off tryin' to call, I might not get the messageAnd she just tried to run off with my heart, but I blocked off the exit, yeah[Bridge: The Weeknd & KayCyy]Oh-oh, I know You won't (I know You won't)I know You won't (Oh), oh (Oh, yeah)I know You won't, I know that You look over us (I know)So we silently sleepBring down the rain, yeah, oh"
Moon,"[Chorus: Don Toliver]I wanna go to the moon, don't leave so soon (Don't leave so soon)How could I get through? (How could I get through?)I wanna go to the moon, don't leave so soon (Don't leave so soon)How could I get through? (How could I get through?)I wanna go to the moon, don't leave so soon (Don't leave so soon)How could I get through? (How could I get through?)[Verse: Kid Cudi]Mhm, here we go strappin', we upNever forget all the memoriesSittin', I sip out my cupThinkin' I should be a better meTruly I'm blessed from the startSo much to say in these melodies, ohStare at the sky, the moon singin' sweetOh, my God, such a sweet momentAngels, they say I'm not ever weak, such a lonely momentHeaven knows I might never sleep, trouble in my soulHey, I've been prayin', life can be drainin', ohHey, we were late, tryna keep haulin' onI'm ashamed and yet, what I will see, ain't nobody knows, so I go[Chorus: Don Toliver, Kanye West & Kid Cudi]How can I get through? (Don't leave so soon)How can I get through? (To the moon)How can I get through? (To the moon)Early afternoon, I wanna go to the moon (Take you to the moon)Don't leave so soon (Woah)Don't leave so soonHow could I get through? (Yeah)How can I get through? (Ooh)Early afternoon, I wanna go to the moon (Ooh, take you to the moon)Don't leave so soon (Ooh)Don't leave so soon (Don't leave so soon)How could I get through? (How could I get through?)"
Life Of The Party (with André 3000),
Off The Grid,"[Intro: Kanye West & Playboi Carti]What? YeahBoy (What?)[Chorus: Kanye West]We off the grid, grid, gridThis for my kid, kid, kidFor when my kid kid kids have kidsEverything we did for the crib[Verse 1: Kanye West & Playboi Carti]Everything we did, how we live (What?)All this smoke got a scentAll that smoke heaven sent (Scent)Everything I spoke, what I meant (Ah)Never disguise my intent, lines outside the eventBrought my life out the trenchGod, thank God, look what He did, did, did, did, did, didWe off the grid, grid, grid, grid, grid (Ayy)What?We off the grid, grid, grid, grid[Verse 2: Playboi Carti]I'm off the grid (Homicide, homicide, what?)Got tats on my ribs (Ah), tattoos on my ribs (What?)I just tattеd my kid, Onyx (Slatt)I just threw twenty K on thesе ****, we was at Onyx (Ah, what?)I just bought me some brand new clothes, Dover Street Market (Givenchy)Ayy, we just took the route to Charlotte (Yeah, ah, what? Yeah)I'm in the Rolls-Royce **** on—what you call it? (Yeah, yeah)I light a opp blunt and let your **** try it (Ah)Uh, them off the grid, I'm on a **** diet (What?)"
Jail,"[Intro: Kanye West]Take what you wantTake everythingTake what you wantTake what you want[Verse 1: Kanye West]Better that I change my number so you can't explainViolence in the night, violence in the nightPriors, priors, do you have any priors?Well, that one timeI'll be honest, I'll be honestWe all liarsLet it go[Pre-Chorus: Kanye West]I'll be honest, we all liarsI'll be honest, we all liarsI'm pulled over and I got priorsGuess we goin' down, guess who's goin' to jail?[Chorus: Kanye West]Guess who's goin' to jail tonight?Guess who's goin' to jail tonight?Guess who's goin' to jail tonight?God gon' post my bail tonight"
Praise God,"[Intro: Travis Scott & Donda West]That she wrote, ""Speech to the Young: Speech to the Progress-Toward""Say to them, say to the down-keepers, the sun-slappersThe self-soilers, the harmony-hushersEven if you are not ready for the day, it cannot always be nightServe, flex, I do work (Work)Six, I'm like MikeHe's out of sight, wooYou done got me pipedTwo-man like IkeSix out the spot (Uh, uh)Into the night[Verse 1: Travis Scott & Kanye West]Yeah, I'm shakin' the drop (Drop)I'm still up on top (Aight)I been had the bopThe devil my opp, can't pay me to stop (It's lit)My God at the top (La Flame)[Chorus: Kanye West & Donda West]We gon' praise our way out the grave, dawgLivin', speakin', praise GodWalkin' out the graveyard back to lifeI serve, follow your word, see with new sight, into the night (Hey)"
Come to Life,"[Intro]My soul cries out Hallelujah and I thank God for saving meI thank God for...[Chorus]Here go all your problems again (I thank God)Three, two, one, you're pinned (I thank God)Uncle now he back in the pen' (Hallelujah)Auntie shut down againDid she finally come to life? (Thank you, Jesus)Ever wish you had another life?Ever wish you had another life?Ever wish you had another life?[Verse 1]Don't you wish the night would go numb?I've been feelin' low for so longI ain't had a high in so longI been in the dark for so longNight is always darkest 'fore the dawnGotta make my mark 'fore I'm goneI don't wanna die aloneI don't wanna die aloneI get mad when she goneMad when she homeSad when she goneMad when she homeSad when she gone (Loosen right now, the spirit that wants to run)Floatin' on a silver lining (In the name of Jesus)Yeah, you know where to find me, ridin' on a silver liningAnd my God won't deny me, tell the Devil, ""Get behind me""And all the stars are aligned, lift me up every timeYou know exactly where to find me"
Believe What I Say,"[Intro: Lauryn Hill]Yo, yo (Check our situation)My men and my women(Yo) Yo, yo (Check our situation)My men and my wom–[Verse 1: Kanye West]You need somethin' unexpected, some form of weaponYou ask him to feel protected, and still feel protectedJust one time for the record, just one time for the recordDon't agree with the message, don't agree with the methods[Chorus: Kanye West]Don't let, don't let the lifestyle drag you downWho knows when was the last time you felt the loveOne last sparkle to follow in my lightOne last sparkle to follow[Verse 2: Kanye West]Man, it's too earlyWhat the hell you doin' wakin' me up at 5:30?Why the hell are you worried?Play somethin' that is very, very vibe-worthyI don't know want my mind alertingPeople sayin' tweetin' gonna make you die earlyHow 'bout have my heart hurtin'?Hold it all inside, that could make you die earlyGo on and get your best attorneySomething's there, feel it when I heard itJust release the spirit, let it flow thoughHow these **** leaving now with one leg like Flo-Jo?Nail me to the cross with long nails, like CokoFree Throat Coat for the throat goatsEven if I gotta do it solo, even if I gotta do it with no promoI ain't got my point across'Til we finally get across and pass the pointSo there's a couple things that I gotta quoteDon't involve yourself in things you don't have to knowI ain't never question what you was askin' forI gave you every single thing you was askin' forI don't understand how anybody could ask for moreGot a list of even more, I just laugh it offI be goin' through things I had to wroteCelebrity drama that only Brad'll knowToo many family secrets, somebody passin' notesThings I cried about, I found laughableLil' baby Jesus, ain't laughing, noDon't involve yourself in things they ain't have to knowThe big man upstairs ain't laughin', noDon't involve yourself in things they ain't have to know"
No Child Left Behind,"[Intro: Vory]No child left behindNo child left behindNo child left behindNo child left behindNo child left behind[Verse: Vory]Back again, I used my back against the wallNever called on y'all, never count on y'allI'll always count on GodBack again, I used my back against the wallNever called on y'all, never count on y'allI'll always count on God[Chorus: Kanye West]He's done miracles on meHe's done miracles on meHe's done miracles on meHe's done miracles on meHe's done miraclеs on meHe's done miraclеs on me"
Up From The Ashes,"[Intro: Kanye West]Up from the ashes, into the skyFound a Redeemer, how I surviveBoys hug their mothers, Mary and ChristYour light has healed me, blessed with new life[Chorus: Kanye West]I could tell you, He could show youGod in Heaven, shinin' on youThrough your message, now I know youI come to You empty, free of my pride[Verse: Sunday Service Choir](Ooh, ooh-ooh, ooh-ooh)Praise You only, now and foreverAll the glory, it belongs to YouBy Christ's power, we're victoriousBeen set f—[Refrain: Sunday Service Choir & Kanye West]I come to You empty, free of my prideWe walk by faith and not by our sightDeclaring the vict'ry, one day at a timeGod is our shepherd, light in the nightCure for the sick, He's eyes for the blind"
