track_name,track_id,lyrics,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
STARS,347AQK5Lyhn6RvB8tBGYxt,,0.586,0.572,0.0,-8.27,0.0,0.0437,0.271,0.104,0.118,0.29,125.955,audio_features,347AQK5Lyhn6RvB8tBGYxt,spotify:track:347AQK5Lyhn6RvB8tBGYxt,https://api.spotify.com/v1/tracks/347AQK5Lyhn6RvB8tBGYxt,https://api.spotify.com/v1/audio-analysis/347AQK5Lyhn6RvB8tBGYxt,115238.0,4.0
KEYS TO MY LIFE,7hVb3OyFkgxDgpTdrOX6dT,,0.485,0.555,11.0,-8.938,0.0,0.66,0.132,0.0,0.114,0.617,80.015,audio_features,7hVb3OyFkgxDgpTdrOX6dT,spotify:track:7hVb3OyFkgxDgpTdrOX6dT,https://api.spotify.com/v1/tracks/7hVb3OyFkgxDgpTdrOX6dT,https://api.spotify.com/v1/audio-analysis/7hVb3OyFkgxDgpTdrOX6dT,174083.0,4.0
PAID,2y4ZR0BUAVePljHSsZyIgj,,0.789,0.688,10.0,-6.996,0.0,0.223,0.108,0.0,0.295,0.445,120.162,audio_features,2y4ZR0BUAVePljHSsZyIgj,spotify:track:2y4ZR0BUAVePljHSsZyIgj,https://api.spotify.com/v1/tracks/2y4ZR0BUAVePljHSsZyIgj,https://api.spotify.com/v1/audio-analysis/2y4ZR0BUAVePljHSsZyIgj,195118.0,4.0
TALKING,1eaqMiiUn2P7MnqJK4XeK0,,0.463,0.453,9.0,-9.572,1.0,0.16,0.407,1.78e-06,0.207,0.334,148.741,audio_features,1eaqMiiUn2P7MnqJK4XeK0,spotify:track:1eaqMiiUn2P7MnqJK4XeK0,https://api.spotify.com/v1/tracks/1eaqMiiUn2P7MnqJK4XeK0,https://api.spotify.com/v1/audio-analysis/1eaqMiiUn2P7MnqJK4XeK0,185111.0,4.0
BACK TO ME,1icgLGTpX2fQXKRe4D7w2b,"[Intro: Jason Mewes]I fell in love with you, we fell in love with youGuys like us just don't fall out of the fucking sky, you know?[Chorus: Ty Dolla $ign]Let's keep zonin'Let's keep floatin', let's keep moanin'Girl, I know that it ain't overIn the morning, you'll be runnin' back to meHeart was broken, I am frozenNow you're glowin'This is more than just a momentIn the morning, you'll be runnin' back to me[Verse 1: Kanye West, Ty Dolla $ign & Quavo]This the shit that make rap niggas madThem ""think they cool"" niggas madBad bitches more badYou shouldn't have bought her more ass, shall I add?Tell me, where we at? (Where we at?)I put nerds on the map (On thе map)Now this Urkel in your bitchDid I do that?[Interlude: Jason Mewes]Beautiful, naked, big-titty womеn just don't fall out the sky, you know?",0.809,0.788,1.0,-7.217,1.0,0.0889,0.00108,0.0,0.0625,0.344,95.637,audio_features,1icgLGTpX2fQXKRe4D7w2b,spotify:track:1icgLGTpX2fQXKRe4D7w2b,https://api.spotify.com/v1/tracks/1icgLGTpX2fQXKRe4D7w2b,https://api.spotify.com/v1/audio-analysis/1icgLGTpX2fQXKRe4D7w2b,295472.0,4.0
HOODRAT,1eThXFmkENeSkdeLO8S86F,,0.55,0.513,11.0,-6.567,0.0,0.0345,0.0612,0.0,0.178,0.229,87.741,audio_features,1eThXFmkENeSkdeLO8S86F,spotify:track:1eThXFmkENeSkdeLO8S86F,https://api.spotify.com/v1/tracks/1eThXFmkENeSkdeLO8S86F,https://api.spotify.com/v1/audio-analysis/1eThXFmkENeSkdeLO8S86F,222982.0,4.0
DO IT,2iGvsJuc2mC4mDVOVMNAP6,,0.831,0.69,1.0,-5.869,1.0,0.0831,0.19,0.0,0.08,0.65,107.016,audio_features,2iGvsJuc2mC4mDVOVMNAP6,spotify:track:2iGvsJuc2mC4mDVOVMNAP6,https://api.spotify.com/v1/tracks/2iGvsJuc2mC4mDVOVMNAP6,https://api.spotify.com/v1/audio-analysis/2iGvsJuc2mC4mDVOVMNAP6,225000.0,4.0
PAPERWORK,2yyO7EKRr7c3txi4xCXUFk,,0.741,0.488,8.0,-5.308,1.0,0.0556,0.0703,9.1e-06,0.0821,0.186,120.839,audio_features,2yyO7EKRr7c3txi4xCXUFk,spotify:track:2yyO7EKRr7c3txi4xCXUFk,https://api.spotify.com/v1/tracks/2yyO7EKRr7c3txi4xCXUFk,https://api.spotify.com/v1/audio-analysis/2yyO7EKRr7c3txi4xCXUFk,145785.0,4.0
BURN,04CyMEHliadfQWMUJb1w99,,0.6,0.885,11.0,-6.21,0.0,0.393,0.0157,6.02e-06,0.856,0.736,105.003,audio_features,04CyMEHliadfQWMUJb1w99,spotify:track:04CyMEHliadfQWMUJb1w99,https://api.spotify.com/v1/tracks/04CyMEHliadfQWMUJb1w99,https://api.spotify.com/v1/audio-analysis/04CyMEHliadfQWMUJb1w99,111458.0,4.0
FUK SUMN,5tEaVciE2GnR28aN6W9cLS,,0.774,0.818,4.0,-2.825,0.0,0.145,0.127,0.0,0.0529,0.438,142.084,audio_features,5tEaVciE2GnR28aN6W9cLS,spotify:track:5tEaVciE2GnR28aN6W9cLS,https://api.spotify.com/v1/tracks/5tEaVciE2GnR28aN6W9cLS,https://api.spotify.com/v1/audio-analysis/5tEaVciE2GnR28aN6W9cLS,209577.0,4.0
